Date,Price,Open,High,Low,per_change,Days
22-Apr-16,1.1234,1.1291,1.1312,1.122,-0.0048,388
25-Apr-16,1.1266,1.1231,1.128,1.1216,0.0028,389
26-Apr-16,1.1299,1.1264,1.1339,1.1255,0.0029,390
27-Apr-16,1.1321,1.1298,1.1363,1.1274,0.0019,391
28-Apr-16,1.1353,1.132,1.137,1.1296,0.0028,392
29-Apr-16,1.1456,1.1354,1.1461,1.1335,0.0091,393
2-May-16,1.1532,1.1447,1.1539,1.1446,0.0066,394
3-May-16,1.1497,1.1533,1.1616,1.1495,-0.003,395
4-May-16,1.1487,1.1496,1.153,1.1467,-0.0009,396
5-May-16,1.1405,1.1486,1.1496,1.1385,-0.0071,397
